FRAME,X,Y,SPEED,ACCELERATION
23,1284,229,0,0
24,1239,193,57.62811813689564,57.62811813689564
25,1190,166,55.94640292279746,-1.6817152140981761
26,1142,147,51.62363799656123,-4.322764926236232
27,1095,134,48.76474136094644,-2.8588966356147907
28,1047,128,48.373546489791295,-0.3911948711551432
29,999,130,48.041648597857254,-0.33189789193404096
30,950,140,50.00999900019995,1.9683504023426934
31,901,158,52.20153254455275,2.191533544352801
32,852,183,55.00909015790027,2.8075576133475195
33,804,216,58.249463516842795,3.240373358942527
34,756,257,63.12685640834652,4.877392891503725
35,708,306,68.59300255857006,5.466146150223544
36,661,361,72.34638899074369,3.7533864321736274
37,613,422,77.62087348130012,5.274484490556432
38,565,492,84.87638069569178,7.255507214391656
39,517,569,90.7358804442873,5.859499748595525
40,471,654,96.64884893261792,5.91296848833062
41,424,747,104.20172743289815,7.5528785002802294
42,376,847,110.92339699089638,6.721669557998226
43,326,963,126.31706139710502,15.393664406208643
44,299,993,40.36087214122113,-85.95618925588388
45,303,930,63.12685640834652,22.76598426712539
46,310,873,57.42821606144492,-5.698640346901598
47,335,840,41.400483088968905,-16.027732972476016
48,365,816,38.41874542459709,-2.9817376643718134
49,395,797,35.510561809129406,-2.908183615467685
50,421,787,27.85677655436824,-7.653785254761168
51,448,786,27.018512172212592,-0.8382643821556464
52,476,790,28.284271247461902,1.26575907524931
53,501,802,27.730849247724095,-0.5534219997378074
